date,close,us_stock_index,eu_stock_index,de_stock_index,eu_interest_rate,de_interest_rate,us_inflation_rate,eu_inflation_rate,fed_exchange_rate
2019-08-08 20:00:00,-0.00247,2938.09,2961.5,11845.41,0.25,-0.39,1.43,1.0,2.12
2019-08-09 00:00:00,0.00127,2938.09,2953.5,11693.8,0.25,-0.39,1.44,1.0,2.12
2019-08-09 04:00:00,0.00018,2938.09,2946.5,11693.8,0.25,-0.39,1.44,1.0,2.12
2019-08-09 08:00:00,-6e-05,2902.45,2945.5,11693.8,0.25,-0.39,1.44,1.0,2.12
2019-08-09 12:00:00,0.00076,2918.24,2950.5,11693.8,0.25,-0.39,1.44,1.0,2.12
2019-08-09 16:00:00,0.00093,2918.65,2950.5,11693.8,0.25,-0.39,1.44,1.0,2.12
2019-08-09 20:00:00,-0.00111,2918.65,2950.5,11693.8,0.25,-0.39,1.44,1.0,2.12
2019-08-12 00:00:00,0.00052,2918.65,2942.5,11679.68,0.25,-0.39,1.39,1.0,2.12
2019-08-12 04:00:00,0.00041,2918.65,2935.5,11679.68,0.25,-0.39,1.39,1.0,2.12
2019-08-12 08:00:00,-0.00334,2897.73,2934.5,11679.68,0.25,-0.39,1.39,1.0,2.12
2019-08-12 12:00:00,0.00335,2882.35,2920.5,11679.68,0.25,-0.39,1.39,1.0,2.12
2019-08-12 16:00:00,0.0003,2883.09,2929.5,11679.68,0.25,-0.39,1.39,1.0,2.12
2019-08-12 20:00:00,9e-05,2883.09,2934.5,11679.68,0.25,-0.39,1.39,1.0,2.12
2019-08-13 00:00:00,-0.00071,2883.09,2924.5,11750.13,0.25,-0.39,1.44,1.0,2.12
2019-08-13 04:00:00,-0.00162,2883.09,2913.5,11750.13,0.25,-0.39,1.44,1.0,2.12
2019-08-13 08:00:00,0.00018,2931.09,2970.5,11750.13,0.25,-0.39,1.44,1.0,2.12
2019-08-13 12:00:00,0.0025,2926.42,2972.5,11750.13,0.25,-0.39,1.44,1.0,2.12
2019-08-13 16:00:00,-0.00371,2926.32,2968.5,11750.13,0.25,-0.39,1.44,1.0,2.12
2019-08-13 20:00:00,-0.00086,2926.32,2974.5,11750.13,0.25,-0.39,1.44,1.0,2.12
2019-08-14 00:00:00,0.0007,2926.32,2943.5,11492.66,0.25,-0.39,1.36,1.0,2.12
2019-08-14 04:00:00,-0.00061,2926.32,2905.5,11492.66,0.25,-0.39,1.36,1.0,2.12
2019-08-14 08:00:00,0.00045,2858.76,2880.5,11492.66,0.25,-0.39,1.36,1.0,2.12
2019-08-14 12:00:00,0.0001,2840.06,2880.5,11492.66,0.25,-0.39,1.36,1.0,2.12
2019-08-14 16:00:00,-0.00331,2840.6,2888.5,11492.66,0.25,-0.39,1.36,1.0,2.12
2019-08-14 20:00:00,-0.00065,2840.6,2893.5,11492.66,0.25,-0.39,1.36,1.0,2.12
2019-08-15 00:00:00,0.00043,2840.6,2893.5,11412.67,0.25,-0.39,1.34,1.0,2.13
2019-08-15 04:00:00,0.00091,2840.6,2897.5,11412.67,0.25,-0.39,1.34,1.0,2.13
2019-08-15 08:00:00,-0.00029,2849.99,2890.5,11412.67,0.25,-0.39,1.34,1.0,2.13
2019-08-15 12:00:00,-0.00062,2847.21,2886.5,11412.67,0.25,-0.39,1.34,1.0,2.13
2019-08-15 16:00:00,-0.00426,2847.6,2897.5,11412.67,0.25,-0.39,1.34,1.0,2.13
2019-08-15 20:00:00,0.00071,2847.6,2902.5,11412.67,0.25,-0.39,1.34,1.0,2.13
2019-08-16 00:00:00,-0.00028,2847.6,2924.5,11562.74,0.25,-0.39,1.34,1.0,2.13
2019-08-16 04:00:00,-4e-05,2847.6,2920.5,11562.74,0.25,-0.39,1.34,1.0,2.13
2019-08-16 08:00:00,-0.00192,2887.39,2934.5,11562.74,0.25,-0.39,1.34,1.0,2.13
2019-08-16 12:00:00,-0.00103,2888.58,2934.5,11562.74,0.25,-0.39,1.34,1.0,2.13
2019-08-16 16:00:00,0.00195,2888.68,2934.5,11562.74,0.25,-0.39,1.34,1.0,2.13
2019-08-16 20:00:00,-0.0004,2888.68,2934.5,11562.74,0.25,-0.39,1.34,1.0,2.13
2019-08-19 00:00:00,0.00016,2888.68,2952.5,11715.37,0.25,-0.39,1.36,1.0,2.13
2019-08-19 04:00:00,5e-05,2888.68,2981.5,11715.37,0.25,-0.39,1.36,1.0,2.13
2019-08-19 08:00:00,0.00109,2924.28,2969.5,11715.37,0.25,-0.39,1.36,1.0,2.13
2019-08-19 12:00:00,-0.00029,2922.93,2968.5,11715.37,0.25,-0.39,1.36,1.0,2.13
2019-08-19 16:00:00,-0.00061,2923.65,2964.5,11715.37,0.25,-0.39,1.36,1.0,2.13
2019-08-19 20:00:00,-0.00155,2923.65,2973.5,11715.37,0.25,-0.39,1.36,1.0,2.13
2019-08-20 00:00:00,0.0007,2923.65,2975.5,11651.18,0.25,-0.39,1.34,1.0,2.13
2019-08-20 04:00:00,0.00017,2923.65,2965.5,11651.18,0.25,-0.39,1.34,1.0,2.13
2019-08-20 08:00:00,-0.00084,2915.51,2957.5,11651.18,0.25,-0.39,1.34,1.0,2.13
2019-08-20 12:00:00,-7e-05,2901.35,2946.5,11651.18,0.25,-0.39,1.34,1.0,2.13
2019-08-20 16:00:00,0.00212,2900.51,2950.5,11651.18,0.25,-0.39,1.34,1.0,2.13
2019-08-20 20:00:00,0.00012,2900.51,2957.5,11651.18,0.25,-0.39,1.34,1.0,2.13
2019-08-21 00:00:00,-0.00074,2900.51,2997.5,11802.85,0.25,-0.39,1.34,1.0,2.12
2019-08-21 04:00:00,0.00015,2900.51,3005.5,11802.85,0.25,-0.39,1.34,1.0,2.12
2019-08-21 08:00:00,0.00038,2927.38,3001.5,11802.85,0.25,-0.39,1.34,1.0,2.12
2019-08-21 12:00:00,0.00055,2924.59,3000.5,11802.85,0.25,-0.39,1.34,1.0,2.12
2019-08-21 16:00:00,-4e-05,2924.43,2998.5,11802.85,0.25,-0.39,1.34,1.0,2.12
2019-08-21 20:00:00,-0.00183,2924.43,2993.5,11802.85,0.25,-0.39,1.34,1.0,2.12
2019-08-22 00:00:00,0.00013,2924.43,2999.5,11747.04,0.25,-0.39,1.35,1.0,2.12
2019-08-22 04:00:00,-0.00042,2924.43,3006.5,11747.04,0.25,-0.39,1.35,1.0,2.12
2019-08-22 08:00:00,0.0017,2915.11,2981.5,11747.04,0.25,-0.39,1.35,1.0,2.12
2019-08-22 12:00:00,-0.00188,2922.56,2982.5,11747.04,0.25,-0.39,1.35,1.0,2.12
2019-08-22 16:00:00,0.0002,2922.95,2991.5,11747.04,0.25,-0.39,1.35,1.0,2.12
2019-08-22 20:00:00,-0.00019,2922.95,2996.5,11747.04,0.25,-0.39,1.35,1.0,2.12
2019-08-23 00:00:00,-7e-05,2922.95,2998.5,11611.51,0.25,-0.39,1.35,1.0,2.12
2019-08-23 04:00:00,-0.00099,2922.95,2971.5,11611.51,0.25,-0.39,1.35,1.0,2.12
2019-08-23 08:00:00,-0.00018,2867.33,2933.5,11611.51,0.25,-0.39,1.35,1.0,2.12
2019-08-23 12:00:00,-0.00042,2848.45,2918.5,11611.51,0.25,-0.39,1.35,1.0,2.12
2019-08-23 16:00:00,0.0075,2847.11,2918.5,11611.51,0.25,-0.39,1.35,1.0,2.12
2019-08-23 20:00:00,3e-05,2847.11,2918.5,11611.51,0.25,-0.39,1.35,1.0,2.12
2019-08-26 00:00:00,0.00045,2847.11,2957.5,11658.04,0.25,-0.39,1.34,1.0,2.12
2019-08-26 04:00:00,-1e-05,2847.11,2957.5,11658.04,0.25,-0.39,1.34,1.0,2.12
2019-08-26 08:00:00,-0.00284,2868.63,2961.5,11658.04,0.25,-0.39,1.34,1.0,2.12
2019-08-26 12:00:00,-0.00032,2878.86,2965.5,11658.04,0.25,-0.39,1.34,1.0,2.12
2019-08-26 16:00:00,-0.00017,2878.38,2958.5,11658.04,0.25,-0.39,1.34,1.0,2.12
2019-08-26 20:00:00,-0.00079,2878.38,2963.5,11658.04,0.25,-0.39,1.34,1.0,2.12
2019-08-27 00:00:00,0.00017,2878.38,2945.5,11730.02,0.25,-0.39,1.36,1.0,2.12
2019-08-27 04:00:00,-0.00051,2878.38,2981.5,11730.02,0.25,-0.39,1.36,1.0,2.12
2019-08-27 08:00:00,0.00147,2874.36,2961.5,11730.02,0.25,-0.39,1.36,1.0,2.12
2019-08-27 12:00:00,-0.00044,2869.01,2964.5,11730.02,0.25,-0.39,1.36,1.0,2.12
2019-08-27 16:00:00,-0.00122,2869.16,2967.5,11730.02,0.25,-0.39,1.36,1.0,2.12
2019-08-27 20:00:00,-0.00064,2869.16,2970.5,11730.02,0.25,-0.39,1.36,1.0,2.12
2019-08-28 00:00:00,-0.00022,2869.16,2956.5,11701.02,0.25,-0.39,1.36,1.0,2.12
2019-08-28 04:00:00,-0.00011,2869.16,2953.5,11701.02,0.25,-0.39,1.36,1.0,2.12
2019-08-28 08:00:00,0.00019,2884.67,2973.5,11701.02,0.25,-0.39,1.36,1.0,2.12
2019-08-28 12:00:00,-0.00072,2887.94,2973.5,11701.02,0.25,-0.39,1.36,1.0,2.12
2019-08-28 16:00:00,-0.0003,2887.94,2963.5,11701.02,0.25,-0.39,1.36,1.0,2.12
