date,close,MA10,MACD,ROC,Momentum,RSI,Bollinger_Up,Bollinger_Down,CCI
2015-01-23 16:00:00,0.00207,1.13937,-0.00967,0.19942,-0.01063,21.46931,1.16761,1.11113,-0.98454
2015-01-23 20:00:00,-0.00515,1.1355,-0.0104,-0.27417,-0.01319,18.54156,1.16587,1.10513,-0.99958
2015-01-26 00:00:00,-0.00349,1.13095,-0.01113,-0.76768,-0.0064,16.81497,1.16386,1.09804,-0.85822
2015-01-26 04:00:00,0.0016,1.12719,-0.01144,-0.1687,-0.00497,20.58212,1.16176,1.09262,-0.50678
2015-01-26 08:00:00,0.00655,1.12587,-0.01104,0.72974,-0.00049,34.14714,1.16077,1.09097,-0.051
2015-01-26 12:00:00,0.00182,1.12491,-0.01045,0.74837,0.00648,37.44587,1.15956,1.09026,0.1091
2015-01-26 16:00:00,0.00106,1.12408,-0.00979,0.256,0.01103,39.40997,1.15816,1.09,0.22185
2015-01-26 20:00:00,-0.00413,1.1231,-0.00949,-0.27245,0.0053,34.69406,1.15569,1.09051,0.03866
2015-01-27 00:00:00,0.0011,1.12326,-0.00905,-0.26865,-0.00015,36.92763,1.15471,1.09181,0.09985
2015-01-27 04:00:00,-0.00106,1.1233,-0.00869,0.00356,-0.00303,35.62312,1.1526,1.094,0.03208
2015-01-27 08:00:00,0.00799,1.12393,-0.00768,0.61609,0.0039,50.32135,1.1504,1.09746,0.59171
2015-01-27 12:00:00,0.00201,1.12528,-0.00663,0.88986,0.01004,53.30154,1.14845,1.10211,0.73285
2015-01-27 16:00:00,0.00143,1.12711,-0.00563,0.30395,0.01037,55.41578,1.145,1.10922,0.90449
2015-01-27 20:00:00,0.00283,1.12907,-0.00455,0.37574,0.01426,59.45245,1.14246,1.11568,1.338
2015-01-28 00:00:00,-0.00457,1.12992,-0.00401,-0.15328,0.0017,51.14393,1.14272,1.11712,0.55295
2015-01-28 04:00:00,0.00204,1.13079,-0.00339,-0.22231,0.00173,54.31086,1.14347,1.11811,0.74284
2015-01-28 08:00:00,0.00072,1.13163,-0.0028,0.2435,0.00102,55.4435,1.14433,1.11893,0.72297
