Time,Open,High,Low,Last,Change,%Chg,Volume
"03/13/2015 12:00",2045.56,2055.96,2041.44,2053.3,7.73,+0.38%,0
"03/13/2015 08:00",2064.56,2064.56,2041.17,2045.57,-20.37,-0.99%,0
"03/12/2015 16:00",2065.79,2065.94,2065.79,2065.94,0.13,+0.01%,0
"03/12/2015 12:00",2059.56,2066.41,2057.39,2065.81,6.23,+0.30%,0
"03/12/2015 08:00",2041.1,2061.65,2041.1,2059.58,19.34,+0.95%,0
"03/11/2015 16:00",2040.51,2040.51,2040.24,2040.24,-0.37,-0.02%,0
"03/11/2015 12:00",2046.96,2048.6,2039.69,2040.61,-6.32,-0.31%,0
"03/11/2015 08:00",2044.69,2050.08,2040.74,2046.93,2.77,+0.14%,0
"03/10/2015 16:00",2045.31,2045.31,2044.16,2044.16,-1.2,-0.06%,0
"03/10/2015 12:00",2051.73,2055.23,2045.18,2045.36,-6.37,-0.31%,0
"03/10/2015 08:00",2076.14,2076.14,2051.73,2051.73,-27.69,-1.33%,0
"03/09/2015 16:00",2079.35,2079.42,2079.35,2079.42,0.06,0.00%,0
"03/09/2015 12:00",2076.71,2083.48,2074.51,2079.36,2.65,+0.13%,0
"03/09/2015 08:00",2072.6,2079.23,2072.21,2076.71,5.45,+0.26%,0
"03/06/2015 16:00",2071.25,2071.29,2071.21,2071.26,-0.12,-0.01%,0
"03/06/2015 12:00",2080.38,2082.07,2067.27,2071.38,-8.98,-0.43%,0
"03/06/2015 08:00",2100.91,2100.91,2078,2080.36,-20.68,-0.98%,0
"03/05/2015 16:00",2101.08,2101.11,2101.02,2101.04,-0.19,-0.01%,0
"03/05/2015 12:00",2102.65,2102.69,2095.21,2101.23,-1.43,-0.07%,0
"03/05/2015 08:00",2098.54,2104.25,2098.11,2102.66,4.13,+0.20%,0
"03/04/2015 16:00",2098.67,2098.67,2098.53,2098.53,-0.11,-0.01%,0
"03/04/2015 12:00",2096.56,2101.05,2094.48,2098.64,2.07,+0.10%,0
"03/04/2015 08:00",2107.71,2107.71,2087.62,2096.57,-11.21,-0.53%,0
"03/03/2015 16:00",2107.78,2107.8,2107.77,2107.78,0.03,0.00%,0
"03/03/2015 12:00",2101.84,2109.07,2098.26,2107.75,5.89,+0.28%,0
"03/03/2015 08:00",2115.76,2115.76,2099.21,2101.86,-15.53,-0.73%,0
"03/02/2015 16:00",2116.94,2117.39,2116.94,2117.39,0.47,+0.02%,0
