Time,Open,High,Low,Last,Change,%Chg,Volume
07/14/2006,1242.29,1242.7,1228.45,1236.2,-6.08,-0.49%,0
07/13/2006,1258.58,1258.58,1241.43,1242.28,-16.32,-1.30%,0
07/12/2006,1272.39,1273.31,1257.29,1258.6,-13.83,-1.09%,0
07/11/2006,1267.26,1273.64,1259.65,1272.43,5.09,+0.40%,0
07/10/2006,1265.46,1274.06,1264.46,1267.34,1.86,+0.15%,0
07/07/2006,1274.08,1275.38,1263.13,1265.48,-8.6,-0.67%,0
07/06/2006,1270.58,1278.32,1270.58,1274.08,3.17,+0.25%,0
07/05/2006,1280.05,1280.05,1265.91,1270.91,-9.28,-0.72%,0
07/03/2006,1270.06,1280.38,1270.06,1280.19,9.99,+0.79%,0
06/30/2006,1272.86,1276.3,1270.2,1270.2,-2.67,-0.21%,0
06/29/2006,1245.94,1272.88,1245.94,1272.87,26.87,+2.16%,0
06/28/2006,1238.99,1247.06,1237.59,1246,6.8,+0.55%,0
06/27/2006,1250.55,1253.37,1238.94,1239.2,-11.36,-0.91%,0
06/26/2006,1244.5,1250.92,1243.68,1250.56,6.06,+0.49%,0
06/23/2006,1245.59,1253.13,1241.43,1244.5,-1.1,-0.09%,0
06/22/2006,1251.92,1251.92,1241.53,1245.6,-6.6,-0.53%,0
06/21/2006,1240.09,1257.96,1240.09,1252.2,12.08,+0.97%,0
06/20/2006,1240.12,1249.01,1238.87,1240.12,-0.01,0.00%,0
06/19/2006,1251.54,1255.93,1237.17,1240.13,-11.41,-0.91%,0
06/16/2006,1256.16,1256.27,1246.33,1251.54,-4.62,-0.37%,0
06/15/2006,1230.01,1258.64,1230.01,1256.16,26.12,+2.12%,0
06/14/2006,1223.66,1231.46,1219.29,1230.04,6.35,+0.52%,0
06/13/2006,1236.08,1243.37,1222.52,1223.69,-13.75,-1.11%,0
06/12/2006,1252.27,1255.22,1236.43,1237.44,-14.86,-1.19%,0
06/09/2006,1257.93,1262.58,1250.03,1252.3,-5.63,-0.45%,0
06/08/2006,1256.08,1259.85,1235.18,1257.93,1.78,+0.14%,0
06/07/2006,1263.61,1272.47,1255.77,1256.15,-7.7,-0.61%,0
06/06/2006,1265.23,1269.88,1254.46,1263.85,-1.44,-0.11%,0
06/05/2006,1288.16,1288.16,1264.66,1265.29,-22.93,-1.78%,0
06/02/2006,1285.71,1290.68,1280.22,1288.22,2.51,+0.20%,0
06/01/2006,1270.05,1285.71,1269.19,1285.71,15.62,+1.23%,0
05/31/2006,1259.38,1270.09,1259.38,1270.09,10.22,+0.81%,0
05/30/2006,1280.04,1280.04,1259.87,1259.87,-20.29,-1.58%,0
05/26/2006,1272.71,1280.54,1272.5,1280.16,7.28,+0.57%,0
05/25/2006,1258.41,1273.26,1258.41,1272.88,14.31,+1.14%,0
05/24/2006,1256.56,1264.53,1245.34,1258.57,1.99,+0.16%,0
05/23/2006,1262.06,1273.67,1256.15,1256.58,-5.49,-0.43%,0
05/22/2006,1267.03,1268.77,1252.98,1262.07,-4.96,-0.39%,0
05/19/2006,1261.81,1272.15,1256.28,1267.03,5.22,+0.41%,0
05/18/2006,1270.25,1274.89,1261.75,1261.81,-8.51,-0.67%,0
05/17/2006,1291.73,1291.73,1267.31,1270.32,-21.76,-1.68%,0
05/16/2006,1294.5,1297.88,1288.51,1292.08,-2.42,-0.19%,0
05/15/2006,1291.19,1294.81,1284.51,1294.5,3.26,+0.25%,0
05/12/2006,1305.88,1305.88,1290.38,1291.24,-14.68,-1.12%,0
05/11/2006,1322.63,1322.63,1303.45,1305.92,-16.93,-1.28%,0
05/10/2006,1324.57,1325.51,1317.44,1322.85,-2.29,-0.17%,0
05/09/2006,1324.66,1326.6,1322.48,1325.14,0.48,+0.04%,0
05/08/2006,1325.76,1326.7,1322.87,1324.66,-1.1,-0.08%,0
05/05/2006,1312.25,1326.53,1312.25,1325.76,13.51,+1.03%,0
05/04/2006,1307.85,1315.14,1307.85,1312.25,4.13,+0.32%,0
05/03/2006,1313.21,1313.47,1303.92,1308.12,-5.09,-0.39%,0
05/02/2006,1305.19,1313.66,1305.19,1313.21,8.02,+0.61%,0
05/01/2006,1310.61,1317.21,1303.46,1305.19,-5.42,-0.41%,0
04/28/2006,1309.72,1316.04,1306.16,1310.61,0.89,+0.07%,0
04/27/2006,1305.41,1315,1295.57,1309.72,4.31,+0.33%,0
04/26/2006,1301.74,1310.97,1301.74,1305.41,3.67,+0.28%,0
04/25/2006,1308.11,1310.79,1299.17,1301.74,-6.37,-0.49%,0
04/24/2006,1311.28,1311.28,1303.79,1308.11,-3.17,-0.24%,0
04/21/2006,1311.46,1317.67,1306.59,1311.28,-0.18,-0.01%,0
04/20/2006,1309.93,1318.16,1306.38,1311.46,1.53,+0.12%,0
04/19/2006,1307.65,1310.39,1302.79,1309.93,2.65,+0.20%,0
04/18/2006,1285.33,1309.02,1285.33,1307.28,21.95,+1.71%,0
04/17/2006,1289.12,1292.45,1280.74,1285.33,-3.79,-0.29%,0
04/13/2006,1288.12,1292.09,1283.37,1289.12,1,+0.08%,0
04/12/2006,1286.57,1290.93,1286.45,1288.12,1.55,+0.12%,0
04/11/2006,1296.6,1300.71,1282.96,1286.57,-10.05,-0.78%,0
