Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
FXH05,01/25/2005,1398.5,1429.5,1398.5,1426.5,21,+1.49%,344844,1442450
FXH05,01/24/2005,1396.5,1409.5,1382.5,1405.5,3,+0.21%,406741,1427192
FXH05,01/21/2005,1397.5,1413.5,1387.5,1402.5,11,+0.79%,415037,1430573
FXH05,01/20/2005,1407.5,1411.5,1385.5,1391.5,-37.,-2.59%,374082,1434920
FXH05,01/19/2005,1437.5,1446.5,1423.5,1428.5,-9.,-0.63%,440355,1433443
FXH05,01/18/2005,1427.5,1443.5,1408.5,1437.5,9,+0.63%,366523,1438766
FXH05,01/17/2005,1420.5,1435.5,1419.5,1428.5,18,+1.28%,408544,1439601
FXH05,01/14/2005,1391.5,1420.5,1391.5,1410.5,4,+0.28%,136505,1442726
FXH05,01/13/2005,1409.5,1412.5,1391.5,1406.5,14,+1.01%,377123,1435530
FXH05,01/12/2005,1417.5,1422.5,1382.5,1392.5,-16.,-1.14%,384740,1438650
FXH05,01/11/2005,1447.5,1451.5,1399.5,1408.5,-44.,-3.03%,477312,1467218
FXH05,01/10/2005,1449.5,1457.5,1436.5,1452.5,3,+0.21%,510349,1484741
FXH05,01/07/2005,1433.5,1460.5,1433.5,1449.5,3,+0.21%,335054,1491682
FXH05,01/06/2005,1419.5,1447.5,1417.5,1446.5,15,+1.05%,439628,1492943
FXH05,01/05/2005,1420.5,1435.5,1411.5,1431.5,2,+0.14%,311591,1482534
FXH05,01/04/2005,1436.5,1452.5,1429.5,1429.5,-9.,-0.63%,412704,1468610
FXH05,01/03/2005,1418.5,1462.5,1415.5,1438.5,25,+1.77%,305038,1477312
FXH05,12/30/2004,1433.5,1433.5,1411.5,1413.5,-13.,-0.91%,355688,1492131
FXH05,12/29/2004,1433.5,1436.5,1418.5,1426.5,0,0.00%,93315,1485988
FXH05,12/28/2004,1426.5,1429.5,1413.5,1426.5,5,+0.35%,108750,1474761
FXH05,12/27/2004,1424.5,1432.5,1411.5,1421.5,-1.,-0.07%,90922,1471423
FXH05,12/23/2004,1405.5,1425.5,1404.5,1422.5,20,+1.43%,107423,1464878
FXH05,12/22/2004,1403.5,1416.5,1398.5,1402.5,7,+0.50%,165234,1434841
FXH05,12/21/2004,1375.5,1400.5,1374.5,1395.5,22,+1.60%,226592,1408305
FXH05,12/20/2004,1364.5,1389.5,1359.5,1373.5,28,+2.08%,178808,1386343
FXH05,12/17/2004,1412.5,1412.5,1342.5,1345.5,-55.,-3.93%,227769,1392495
FXH05,12/16/2004,1403.5,1409.5,1396.5,1400.5,0,0.00%,684357,1953489
FXH05,12/15/2004,1416.5,1418.5,1393.5,1400.5,-7.,-0.50%,1176292,1931604
FXZ04,12/14/2004,1415.5,1421.5,1399.5,1407.5,-1.,-0.07%,1058646,1867582
FXZ04,12/13/2004,1386.5,1412.5,1383.5,1408.5,23,+1.66%,1412159,1746977
FXZ04,12/10/2004,1381.5,1390.5,1367.5,1385.5,8,+0.58%,769492,1707224
FXZ04,12/09/2004,1381.5,1393.5,1351.5,1377.5,-17.,-1.22%,609009,1729769
FXZ04,12/08/2004,1369.5,1395.5,1367.5,1394.5,13,+0.94%,548965,1720105
FXZ04,12/07/2004,1381.5,1406.5,1374.5,1381.5,-5.,-0.36%,525587,1653499
FXZ04,12/06/2004,1374.5,1386.5,1366.5,1386.5,16,+1.17%,501107,1628084
FXZ04,12/03/2004,1403.5,1414.5,1365.5,1370.5,-21.,-1.51%,275428,1634043
FXZ04,12/02/2004,1399.5,1410.5,1386.5,1391.5,3,+0.22%,581097,1671442
FXZ04,12/01/2004,1342.5,1396.5,1341.5,1388.5,41,+3.04%,502065,1646565
FXZ04,11/30/2004,1372.5,1375.5,1343.5,1347.5,-28.,-2.04%,519483,1666397
FXZ04,11/29/2004,1375.5,1405.5,1361.5,1375.5,16,+1.18%,518008,1656249
FXZ04,11/26/2004,1369.5,1378.5,1359.5,1359.5,-25.,-1.81%,432429,1644493
FXZ04,11/25/2004,1361.5,1386.5,1358.5,1384.5,31,+2.29%,204556,1636541
FXZ04,11/24/2004,1353.5,1371.5,1345.5,1353.5,-1.,-0.07%,214242,1645724
FXZ04,11/23/2004,1354.5,1377.5,1345.5,1354.5,-15.,-1.10%,355132,1660765
FXZ04,11/22/2004,1351.5,1369.5,1333.5,1369.5,14,+1.03%,384093,1655299
FXZ04,11/19/2004,1392.5,1407.5,1355.5,1355.5,-40.,-2.87%,387730,1665118
FXZ04,11/18/2004,1389.5,1399.5,1381.5,1395.5,-1.,-0.07%,483800,1636911
FXZ04,11/17/2004,1360.5,1405.5,1353.5,1396.5,38,+2.80%,380124,1637490
FXZ04,11/16/2004,1379.5,1381.5,1345.5,1358.5,-20.,-1.45%,555141,1607155
FXZ04,11/15/2004,1397.5,1401.5,1371.5,1378.5,-7.,-0.51%,445752,1589822
FXZ04,11/12/2004,1385.5,1397.5,1375.5,1385.5,-1.,-0.07%,351651,1597963
FXZ04,11/11/2004,1347.5,1386.5,1340.5,1386.5,32,+2.36%,356127,1579403
FXZ04,11/10/2004,1351.5,1363.5,1344.5,1354.5,5,+0.37%,402407,1574078
FXZ04,11/09/2004,1355.5,1355.5,1335.5,1349.5,-6.,-0.44%,341817,1559084
FXZ04,11/08/2004,1353.5,1358.5,1344.5,1355.5,-3.,-0.22%,330521,1539913
FXZ04,11/05/2004,1367.5,1379.5,1343.5,1358.5,-6.,-0.44%,283221,1527401
FXZ04,11/04/2004,1364.5,1364.5,1319.5,1364.5,30,+2.25%,559739,1493225
FXZ04,11/03/2004,1357.5,1360.5,1328.5,1334.5,-7.,-0.52%,431271,1493817
